trigger number,MSE Score
12,0.7958074217164997
13,2.4084931935018346
14,28.160267033337664
15,2.382659959366123
16,9.778769975978983
17,8.128620921745163
18,87.28823386100689
19,1.5030490637545684
20,2.2767442228649424
21,2.239375076024548
22,103.16867389005796
23,1.2120682715995976
24,1.089118585348279
25,1.1695195449281597
26,0.773570921959515
27,0.7056011655977379
28,0.6644368955724722
29,0.8802307024171646
30,4.275720672053968
31,42.123820362198984
32,56.07859681260147
33,0.8920443297896983
34,58.91443631581507
35,0.739932769443482
36,49.46457307288209
37,0.9873295202959123
38,0.8248626776865552
39,50.12798262641165
40,73.41533647694013
41,45.15154022672395
42,1.5921489565347224
43,1.6922152208632597
44,1.6861170808643204
45,1.7349131328576495
46,1.7256601384187782
47,1.2130017305929321
48,1.2130017305929321
49,1.4196455184730892
50,1.4196455184730892
